gene	chrom	exon_start	exon_end	splice_start	splice_end
ANKRD26	10	27093685	27093799	27093677	27093807
ANKRD26	10	27093349	27093522	27093341	27093530
ANKRD26	10	27092406	27092512	27092398	27092520
ANKRD26	10	27086539	27086609	27086531	27086617
ANKRD26	10	27082803	27082833	27082795	27082841
ANKRD26	10	27079089	27079161	27079081	27079169
ANKRD26	10	27077633	27077693	27077625	27077701
ANKRD26	10	27077338	27077540	27077330	27077548
ANKRD26	10	27067157	27067286	27067149	27067294
ANKRD26	10	27066487	27066548	27066479	27066556
ANKRD26	10	27063988	27064081	27063980	27064089
ANKRD26	10	27061144	27061242	27061136	27061250
ANKRD26	10	27060512	27060540	27060504	27060548
ANKRD26	10	27060345	27060417	27060337	27060425
ANKRD26	10	27053320	27053390	27053312	27053398
ANKRD26	10	27048801	27048979	27048793	27048987
ANKRD26	10	27046353	27046523	27046345	27046531
ANKRD26	10	27044157	27044190	27044149	27044198
ANKRD26	10	27043426	27043567	27043418	27043575
ANKRD26	10	27039965	27040178	27039957	27040186
ANKRD26	10	27037871	27038054	27037863	27038062
ANKRD26	10	27037186	27037323	27037178	27037331
ANKRD26	10	27034796	27035752	27034788	27035760
ANKRD26	10	27033225	27033377	27033217	27033385
ANKRD26	10	27029286	27029356	27029278	27029364
ANKRD26	10	27028852	27028945	27028844	27028953
ANKRD26	10	27024447	27024559	27024439	27024567
ANKRD26	10	27022558	27022687	27022550	27022695
ANKRD26	10	27017502	27017792	27017494	27017800
ANKRD26	10	27014494	27014711	27014486	27014719
ANKRD26	10	27012882	27013110	27012874	27013118
ANKRD26	10	27006917	27006962	27006909	27006970
ANKRD26	10	27005590	27005723	27005582	27005731
APC	5	112754891	112755025	112754883	112755033
APC	5	112766326	112766410	112766318	112766418
APC	5	112767189	112767390	112767181	112767398
APC	5	112775629	112775737	112775621	112775745
APC	5	112780790	112780903	112780782	112780911
APC	5	112792446	112792529	112792438	112792537
APC	5	112801279	112801383	112801271	112801391
APC	5	112815495	112815593	112815487	112815601
APC	5	112818966	112819344	112818958	112819352
APC	5	112821896	112821991	112821888	112821999
APC	5	112827108	112827247	112827100	112827255
APC	5	112827929	112828006	112827921	112828014
APC	5	112828856	112828972	112828848	112828980
APC	5	112834951	112835165	112834943	112835173
APC	5	112837553	112844126	112837545	112844134
ARID5B	10	61901710	61901730	61901702	61901738
ARID5B	10	61902159	61902413	61902151	61902421
ARID5B	10	61940183	61940408	61940175	61940416
ARID5B	10	62000091	62000321	62000083	62000329
ARID5B	10	62050888	62051000	62050880	62051008
ARID5B	10	62057117	62057318	62057109	62057326
ARID5B	10	62059243	62059295	62059235	62059303
ARID5B	10	62069700	62069797	62069692	62069805
ARID5B	10	62085702	62085900	62085694	62085908
ARID5B	10	62090862	62093030	62090854	62093038
ATG2B	14	96362815	96362976	96362807	96362984
ATG2B	14	96347179	96347341	96347171	96347349
ATG2B	14	96345233	96345385	96345225	96345393
ATG2B	14	96344654	96344756	96344646	96344764
ATG2B	14	96343119	96343281	96343111	96343289
ATG2B	14	96341522	96341701	96341514	96341709
ATG2B	14	96334405	96334501	96334397	96334509
ATG2B	14	96333688	96333873	96333680	96333881
ATG2B	14	96332501	96332655	96332493	96332663
ATG2B	14	96332305	96332410	96332297	96332418
ATG2B	14	96331376	96331637	96331368	96331645
ATG2B	14	96329484	96329634	96329476	96329642
ATG2B	14	96328674	96328766	96328666	96328774
ATG2B	14	96328347	96328535	96328339	96328543
ATG2B	14	96325649	96325922	96325641	96325930
ATG2B	14	96323896	96323998	96323888	96324006
ATG2B	14	96322540	96322735	96322532	96322743
ATG2B	14	96322112	96322254	96322104	96322262
ATG2B	14	96317698	96317855	96317690	96317863
ATG2B	14	96317145	96317317	96317137	96317325
ATG2B	14	96316533	96316683	96316525	96316691
ATG2B	14	96315384	96315583	96315376	96315591
ATG2B	14	96315154	96315234	96315146	96315242
ATG2B	14	96313329	96313435	96313321	96313443
ATG2B	14	96313065	96313157	96313057	96313165
ATG2B	14	96312089	96312159	96312081	96312167
ATG2B	14	96311542	96311618	96311534	96311626
ATG2B	14	96311117	96311287	96311109	96311295
ATG2B	14	96309453	96309594	96309445	96309602
ATG2B	14	96306714	96306916	96306706	96306924
ATG2B	14	96305589	96305815	96305581	96305823
ATG2B	14	96304495	96304603	96304487	96304611
ATG2B	14	96303061	96303255	96303053	96303263
ATG2B	14	96302007	96302108	96301999	96302116
ATG2B	14	96295482	96295560	96295474	96295568
ATG2B	14	96294960	96295167	96294952	96295175
ATG2B	14	96292029	96292098	96292021	96292106
ATG2B	14	96291600	96291682	96291592	96291690
ATG2B	14	96290814	96290935	96290806	96290943
ATG2B	14	96290436	96290590	96290428	96290598
ATG2B	14	96289656	96289805	96289648	96289813
ATG2B	14	96285755	96285985	96285747	96285993
ATM	11	108227625	108227696	108227617	108227704
ATM	11	108227776	108227888	108227768	108227896
ATM	11	108229178	108229323	108229170	108229331
ATM	11	108235670	108235834	108235662	108235842
ATM	11	108243953	108244118	108243945	108244126
ATM	11	108244788	108245026	108244780	108245034
ATM	11	108246964	108247127	108246956	108247135
ATM	11	108248933	108249102	108248925	108249110
ATM	11	108250701	108251072	108250693	108251080
ATM	11	108251837	108252031	108251829	108252039
ATM	11	108252817	108252912	108252809	108252920
ATM	11	108253814	108254039	108253806	108254047
ATM	11	108256215	108256340	108256207	108256348
ATM	11	108257481	108257606	108257473	108257614
ATM	11	108258986	108259075	108258978	108259083
ATM	11	108267171	108267342	108267163	108267350
ATM	11	108268410	108268609	108268402	108268617
ATM	11	108271064	108271146	108271056	108271154
ATM	11	108271251	108271406	108271243	108271414
ATM	11	108272532	108272607	108272524	108272615
ATM	11	108272722	108272852	108272714	108272860
ATM	11	108279491	108279608	108279483	108279616
ATM	11	108280995	108281168	108280987	108281176
ATM	11	108282710	108282879	108282702	108282887
ATM	11	108284227	108284473	108284219	108284481
ATM	11	108287600	108287715	108287592	108287723
ATM	11	108288977	108289103	108288969	108289111
ATM	11	108289602	108289801	108289594	108289809
ATM	11	108292619	108292793	108292611	108292801
ATM	11	108293313	108293477	108293305	108293485
ATM	11	108294927	108295059	108294919	108295067
ATM	11	108297287	108297382	108297279	108297390
ATM	11	108299714	108299885	108299706	108299893
ATM	11	108301648	108301789	108301640	108301797
ATM	11	108302853	108303029	108302845	108303037
ATM	11	108304675	108304852	108304667	108304860
ATM	11	108307897	108307984	108307889	108307992
ATM	11	108310160	108310315	108310152	108310323
ATM	11	108312411	108312498	108312403	108312506
ATM	11	108315823	108315911	108315815	108315919
ATM	11	108316011	108316113	108316003	108316121
ATM	11	108317373	108317521	108317365	108317529
ATM	11	108319954	108320058	108319946	108320066
ATM	11	108321301	108321420	108321293	108321428
ATM	11	108325310	108325544	108325302	108325552
ATM	11	108326058	108326225	108326050	108326233
ATM	11	108327645	108327758	108327637	108327766
ATM	11	108329021	108329238	108329013	108329246
ATM	11	108330214	108330421	108330206	108330429
ATM	11	108331444	108331557	108331436	108331565
ATM	11	108331879	108332037	108331871	108332045
ATM	11	108332762	108332900	108332754	108332908
ATM	11	108333886	108333968	108333878	108333976
ATM	11	108334969	108335109	108334961	108335117
ATM	11	108335845	108335961	108335837	108335969
ATM	11	108343222	108343371	108343214	108343379
ATM	11	108345743	108345908	108345735	108345916
ATM	11	108347279	108347365	108347271	108347373
ATM	11	108353766	108353880	108353758	108353888
ATM	11	108354811	108354874	108354803	108354882
ATM	11	108365082	108365218	108365074	108365226
ATM	11	108365325	108365508	108365317	108365516
ATR	3	142578646	142578704	142578638	142578712
ATR	3	142568063	142568154	142568055	142568162
ATR	3	142566121	142566261	142566113	142566269
ATR	3	142562232	142563109	142562224	142563117
ATR	3	142561243	142561421	142561235	142561429
ATR	3	142560263	142560454	142560255	142560462
ATR	3	142559251	142559441	142559243	142559449
ATR	3	142558624	142558776	142558616	142558784
ATR	3	142556383	142556575	142556375	142556583
ATR	3	142555877	142556139	142555869	142556147
ATR	3	142553825	142554015	142553817	142554023
ATR	3	142553640	142553740	142553632	142553748
ATR	3	142553227	142553398	142553219	142553406
ATR	3	142550132	142550302	142550124	142550310
ATR	3	142549479	142549673	142549471	142549681
ATR	3	142547725	142547910	142547717	142547918
ATR	3	142542665	142542757	142542657	142542765
ATR	3	142540904	142541034	142540896	142541042
ATR	3	142538482	142538625	142538474	142538633
ATR	3	142536108	142536201	142536100	142536209
ATR	3	142535080	142535205	142535072	142535213
ATR	3	142523993	142524199	142523985	142524207
ATR	3	142522728	142522841	142522720	142522849
ATR	3	142519669	142519784	142519661	142519792
ATR	3	142515395	142515515	142515387	142515523
ATR	3	142513501	142513638	142513493	142513646
ATR	3	142512260	142512470	142512252	142512478
ATR	3	142507931	142508109	142507923	142508117
ATR	3	142505139	142505303	142505131	142505311
ATR	3	142503362	142503453	142503354	142503461
ATR	3	142499627	142499718	142499619	142499726
ATR	3	142498597	142498774	142498589	142498782
ATR	3	142497013	142497192	142497005	142497200
ATR	3	142496361	142496520	142496353	142496528
ATR	3	142493132	142493311	142493124	142493319
ATR	3	142485140	142485282	142485132	142485290
ATR	3	142470086	142470183	142470078	142470191
ATR	3	142469337	142469569	142469329	142469577
ATR	3	142467934	142468068	142467926	142468076
ATR	3	142466324	142466533	142466316	142466541
ATR	3	142465097	142465240	142465089	142465248
ATR	3	142461940	142462090	142461932	142462098
ATR	3	142459227	142459383	142459219	142459391
ATR	3	142458958	142459111	142458950	142459119
ATR	3	142457604	142457755	142457596	142457763
ATR	3	142453128	142453233	142453120	142453241
ATR	3	142449429	142449602	142449421	142449610
AXIN2	17	65557806	65558620	65557798	65558628
AXIN2	17	65549520	65549660	65549512	65549668
AXIN2	17	65541455	65541557	65541447	65541565
AXIN2	17	65538203	65538343	65538195	65538351
AXIN2	17	65537324	65537835	65537316	65537843
AXIN2	17	65536869	65537063	65536861	65537071
AXIN2	17	65536320	65536553	65536312	65536561
AXIN2	17	65535626	65535721	65535618	65535729
AXIN2	17	65533912	65534079	65533904	65534087
AXIN2	17	65529976	65530102	65529968	65530110
BAP1	3	52409842	52409878	52409834	52409886
BAP1	3	52409714	52409743	52409706	52409751
BAP1	3	52409554	52409608	52409546	52409616
BAP1	3	52408474	52408606	52408466	52408614
BAP1	3	52407958	52408077	52407950	52408085
BAP1	3	52407399	52407460	52407391	52407468
BAP1	3	52407174	52407316	52407166	52407324
BAP1	3	52406829	52406907	52406821	52406915
BAP1	3	52406253	52406376	52406245	52406384
BAP1	3	52405765	52405912	52405757	52405920
BAP1	3	52405110	52405294	52405102	52405302
BAP1	3	52404453	52404586	52404445	52404594
BAP1	3	52403416	52403894	52403408	52403902
BAP1	3	52403138	52403298	52403130	52403306
BAP1	3	52402779	52402871	52402771	52402879
BAP1	3	52402602	52402674	52402594	52402682
BAP1	3	52402288	52402421	52402280	52402429
BARD1	2	214809412	214809569	214809404	214809577
BARD1	2	214797061	214797117	214797053	214797125
BARD1	2	214792297	214792445	214792289	214792453
BARD1	2	214780560	214781509	214780552	214781517
BARD1	2	214769232	214769312	214769224	214769320
BARD1	2	214767482	214767654	214767474	214767662
BARD1	2	214752447	214752555	214752439	214752563
BARD1	2	214745722	214745854	214745714	214745862
BARD1	2	214745067	214745159	214745059	214745167
BARD1	2	214730411	214730508	214730403	214730516
BARD1	2	214728676	214729008	214728668	214729016
BLM	15	90747393	90747490	90747385	90747498
BLM	15	90749367	90750067	90749359	90750075
BLM	15	90751787	90751946	90751779	90751954
BLM	15	90754811	90754938	90754803	90754946
BLM	15	90760147	90760279	90760139	90760287
BLM	15	90760594	90761255	90760586	90761263
BLM	15	90762966	90763157	90762958	90763165
BLM	15	90765296	90765414	90765288	90765422
BLM	15	90766910	90767023	90766902	90767031
BLM	15	90769133	90769231	90769125	90769239
BLM	15	90769438	90769586	90769430	90769594
BLM	15	90782822	90782928	90782814	90782936
BLM	15	90784921	90785081	90784913	90785089
BLM	15	90790649	90790844	90790641	90790852
BLM	15	90794167	90794357	90794159	90794365
BLM	15	90798190	90798337	90798182	90798345
BLM	15	90803521	90803720	90803513	90803728
BLM	15	90804167	90804359	90804159	90804367
BLM	15	90809137	90809259	90809129	90809267
BLM	15	90811205	90811406	90811197	90811414
BLM	15	90815102	90815279	90815094	90815287
BMPR1A	10	86876019	86876085	86876011	86876093
BMPR1A	10	86890062	86890224	86890054	86890232
BMPR1A	10	86892127	86892229	86892119	86892237
BMPR1A	10	86899794	86899890	86899786	86899898
BMPR1A	10	86900027	86900126	86900019	86900134
BMPR1A	10	86912240	86912384	86912232	86912392
BMPR1A	10	86917134	86917326	86917126	86917334
BMPR1A	10	86919172	86919469	86919164	86919477
BMPR1A	10	86921520	86921695	86921512	86921703
BMPR1A	10	86923376	86923506	86923368	86923514
BMPR1A	10	86923594	86923719	86923586	86923727
BRAF	7	140924566	140924703	140924558	140924711
BRAF	7	140850111	140850212	140850103	140850220
BRAF	7	140834609	140834872	140834601	140834880
BRAF	7	140808892	140808995	140808884	140809003
BRAF	7	140807960	140808062	140807952	140808070
BRAF	7	140801412	140801560	140801404	140801568
BRAF	7	140800362	140800481	140800354	140800489
BRAF	7	140794308	140794467	140794300	140794475
BRAF	7	140787548	140787584	140787540	140787592
BRAF	7	140783021	140783157	140783013	140783165
BRAF	7	140781576	140781693	140781568	140781701
BRAF	7	140777991	140778075	140777983	140778083
BRAF	7	140776912	140777088	140776904	140777096
BRAF	7	140754187	140754233	140754179	140754241
BRAF	7	140753275	140753393	140753267	140753401
BRAF	7	140749287	140749418	140749279	140749426
BRAF	7	140739812	140739946	140739804	140739954
BRAF	7	140734597	140734770	140734589	140734778
BRCA1	17	43124017	43124096	43124009	43124104
BRCA1	17	43115726	43115779	43115718	43115787
BRCA1	17	43106456	43106533	43106448	43106541
BRCA1	17	43104868	43104956	43104860	43104964
BRCA1	17	43104122	43104261	43104114	43104269
BRCA1	17	43099775	43099880	43099767	43099888
BRCA1	17	43097244	43097289	43097236	43097297
BRCA1	17	43095846	43095922	43095838	43095930
BRCA1	17	43091435	43094860	43091427	43094868
BRCA1	17	43090944	43091032	43090936	43091040
BRCA1	17	43082404	43082575	43082396	43082583
BRCA1	17	43076488	43076614	43076480	43076622
BRCA1	17	43074331	43074521	43074323	43074529
BRCA1	17	43070928	43071238	43070920	43071246
BRCA1	17	43067608	43067695	43067600	43067703
BRCA1	17	43063874	43063951	43063866	43063959
BRCA1	17	43063333	43063373	43063325	43063381
BRCA1	17	43057052	43057135	43057044	43057143
BRCA1	17	43051063	43051117	43051055	43051125
BRCA1	17	43049121	43049194	43049113	43049202
BRCA1	17	43047643	43047703	43047635	43047711
BRCA1	17	43045678	43045802	43045670	43045810
BRCA2	13	32316461	32316527	32316453	32316535
BRCA2	13	32319077	32319325	32319069	32319333
BRCA2	13	32325076	32325184	32325068	32325192
BRCA2	13	32326101	32326150	32326093	32326158
BRCA2	13	32326242	32326282	32326234	32326290
BRCA2	13	32326499	32326613	32326491	32326621
BRCA2	13	32329443	32329492	32329435	32329500
BRCA2	13	32330919	32331030	32330911	32331038
BRCA2	13	32332272	32333387	32332264	32333395
BRCA2	13	32336265	32341196	32336257	32341204
BRCA2	13	32344558	32344653	32344550	32344661
BRCA2	13	32346827	32346896	32346819	32346904
BRCA2	13	32354861	32355288	32354853	32355296
BRCA2	13	32356428	32356609	32356420	32356617
BRCA2	13	32357742	32357929	32357734	32357937
BRCA2	13	32362523	32362693	32362515	32362701
BRCA2	13	32363179	32363533	32363171	32363541
BRCA2	13	32370402	32370557	32370394	32370565
BRCA2	13	32370956	32371100	32370948	32371108
BRCA2	13	32376670	32376791	32376662	32376799
BRCA2	13	32379317	32379515	32379309	32379523
BRCA2	13	32379750	32379913	32379742	32379921
BRCA2	13	32380007	32380145	32379999	32380153
BRCA2	13	32394689	32394933	32394681	32394941
BRCA2	13	32396898	32397044	32396890	32397052
BRCA2	13	32398162	32398770	32398154	32398778
BRIP1	17	61861447	61861539	61861439	61861547
BRIP1	17	61859796	61859907	61859788	61859915
BRIP1	17	61857058	61857231	61857050	61857239
BRIP1	17	61849129	61849256	61849121	61849264
BRIP1	17	61847101	61847220	61847093	61847228
BRIP1	17	61808467	61808757	61808459	61808765
BRIP1	17	61801253	61801474	61801245	61801482
BRIP1	17	61799100	61799299	61799092	61799307
BRIP1	17	61793597	61793729	61793589	61793737
BRIP1	17	61784270	61784424	61784262	61784432
BRIP1	17	61780840	61781005	61780832	61781013
BRIP1	17	61780261	61780401	61780253	61780409
BRIP1	17	61776401	61776562	61776393	61776570
BRIP1	17	61744432	61744591	61744424	61744599
BRIP1	17	61743013	61743134	61743005	61743142
BRIP1	17	61715951	61716063	61715943	61716071
BRIP1	17	61693430	61693512	61693422	61693520
BRIP1	17	61685836	61686165	61685828	61686173
BRIP1	17	61683296	61684140	61683288	61684148
BUB1B	15	40161221	40161255	40161213	40161263
BUB1B	15	40165053	40165196	40165045	40165204
BUB1B	15	40170062	40170121	40170054	40170129
BUB1B	15	40170537	40170681	40170529	40170689
BUB1B	15	40176477	40176673	40176469	40176681
BUB1B	15	40183714	40183883	40183706	40183891
BUB1B	15	40185165	40185379	40185157	40185387
BUB1B	15	40185551	40185642	40185543	40185650
BUB1B	15	40196545	40196774	40196537	40196782
BUB1B	15	40199615	40199727	40199607	40199735
BUB1B	15	40200244	40200359	40200236	40200367
BUB1B	15	40200931	40200980	40200923	40200988
BUB1B	15	40202405	40202465	40202397	40202473
BUB1B	15	40202589	40202694	40202581	40202702
BUB1B	15	40206184	40206458	40206176	40206466
BUB1B	15	40208637	40208770	40208629	40208778
BUB1B	15	40209635	40209775	40209627	40209783
BUB1B	15	40210110	40210210	40210102	40210218
BUB1B	15	40212499	40212648	40212491	40212656
BUB1B	15	40213332	40213474	40213324	40213482
BUB1B	15	40217496	40217667	40217488	40217675
BUB1B	15	40218456	40218562	40218448	40218570
BUB1B	15	40220564	40220759	40220556	40220767
CBL	11	119206418	119206612	119206410	119206620
CBL	11	119232448	119232695	119232440	119232703
CBL	11	119271735	119271881	119271727	119271889
CBL	11	119273868	119274024	119273860	119274032
CBL	11	119274832	119274953	119274824	119274961
CBL	11	119275997	119276134	119275989	119276142
CBL	11	119277757	119277844	119277749	119277852
CBL	11	119278166	119278297	119278158	119278305
CBL	11	119278510	119278713	119278502	119278721
CBL	11	119284969	119285100	119284961	119285108
CBL	11	119285189	119285566	119285181	119285574
CBL	11	119287852	119287946	119287844	119287954
CBL	11	119296918	119297034	119296910	119297042
CBL	11	119297384	119297481	119297376	119297489
CBL	11	119298358	119298540	119298350	119298548
CBL	11	119299495	119299781	119299487	119299789
CDC73	1	193122201	193122331	193122193	193122339
CDC73	1	193125112	193125217	193125104	193125225
CDC73	1	193130174	193130243	193130166	193130251
CDC73	1	193135391	193135453	193135383	193135461
CDC73	1	193135537	193135589	193135529	193135597
CDC73	1	193138085	193138173	193138077	193138181
CDC73	1	193141850	193142066	193141842	193142074
CDC73	1	193147867	193147965	193147859	193147973
CDC73	1	193150304	193150382	193150296	193150390
CDC73	1	193152380	193152444	193152372	193152452
CDC73	1	193203795	193203852	193203787	193203860
CDC73	1	193212065	193212100	193212057	193212108
CDC73	1	193212390	193212477	193212382	193212485
CDC73	1	193232993	193233154	193232985	193233162
CDC73	1	193236256	193236356	193236248	193236364
CDC73	1	193249730	193249871	193249722	193249879
CDC73	1	193250676	193250712	193250668	193250720
CDH1	16	68737416	68737463	68737408	68737471
CDH1	16	68738297	68738411	68738289	68738419
CDH1	16	68801670	68801893	68801662	68801901
CDH1	16	68808424	68808567	68808416	68808575
CDH1	16	68808693	68808848	68808685	68808856
CDH1	16	68810197	68810341	68810189	68810349
CDH1	16	68811684	68811859	68811676	68811867
CDH1	16	68812135	68812263	68812127	68812271
CDH1	16	68813313	68813495	68813305	68813503
CDH1	16	68815515	68815759	68815507	68815767
CDH1	16	68819280	68819425	68819272	68819433
CDH1	16	68822001	68822225	68821993	68822233
CDH1	16	68823399	68823626	68823391	68823634
CDH1	16	68828174	68828304	68828166	68828312
CDH1	16	68829654	68829797	68829646	68829805
CDH1	16	68833290	68833499	68833282	68833507
CDK12	17	39462072	39463117	39462064	39463125
CDK12	17	39470879	39471763	39470871	39471771
CDK12	17	39490557	39490733	39490549	39490741
CDK12	17	39492751	39492890	39492743	39492898
CDK12	17	39494524	39494694	39494516	39494702
CDK12	17	39501250	39501439	39501242	39501447
CDK12	17	39509705	39509761	39509697	39509769
CDK12	17	39511529	39511630	39511521	39511638
CDK12	17	39515731	39515808	39515723	39515816
CDK12	17	39517440	39517556	39517432	39517564
CDK12	17	39519956	39520087	39519948	39520095
CDK12	17	39524674	39524885	39524666	39524893
CDK12	17	39525864	39526316	39525856	39526324
CDK12	17	39530604	39531316	39530596	39531324
CDK4	12	57751500	57751717	57751492	57751725
CDK4	12	57751207	57751342	57751199	57751350
CDK4	12	57750923	57751090	57750915	57751098
CDK4	12	57750656	57750765	57750648	57750773
CDK4	12	57749454	57749504	57749446	57749512
CDK4	12	57749182	57749317	57749174	57749325
CDK4	12	57748525	57748617	57748517	57748625
CDKN1B	12	12717840	12718314	12717832	12718322
CDKN1B	12	12718825	12718946	12718817	12718954
CDKN1C	11	2884670	2885456	2884662	2885464
CDKN1C	11	2884004	2884134	2883996	2884142
CDKN2A	9	21974678	21974827	21974670	21974835
CDKN2A	9	21970902	21971208	21970894	21971216
CDKN2A	9	21968229	21968242	21968221	21968250
CEBPA	19	33301338	33302414	33301330	33302422
CFTR	7	117480095	117480147	117480087	117480155
CFTR	7	117504253	117504363	117504245	117504371
CFTR	7	117509034	117509142	117509026	117509150
CFTR	7	117530899	117531114	117530891	117531122
CFTR	7	117534276	117534365	117534268	117534373
CFTR	7	117535248	117535411	117535240	117535419
CFTR	7	117536548	117536673	117536540	117536681
CFTR	7	117540100	117540346	117540092	117540354
CFTR	7	117542016	117542108	117542008	117542116
CFTR	7	117548641	117548823	117548633	117548831
CFTR	7	117559464	117559655	117559456	117559663
CFTR	7	117587739	117587833	117587731	117587841
CFTR	7	117590353	117590439	117590345	117590447
CFTR	7	117591934	117592657	117591926	117592665
CFTR	7	117594930	117595058	117594922	117595066
CFTR	7	117602826	117602863	117602818	117602871
CFTR	7	117603532	117603782	117603524	117603790
CFTR	7	117606674	117606753	117606666	117606761
CFTR	7	117610519	117610669	117610511	117610677
CFTR	7	117611581	117611808	117611573	117611816
CFTR	7	117614613	117614713	117614605	117614721
CFTR	7	117627522	117627770	117627514	117627778
CFTR	7	117642438	117642593	117642430	117642601
CFTR	7	117652842	117652931	117652834	117652939
CFTR	7	117664688	117664860	117664680	117664868
CFTR	7	117665459	117665564	117665451	117665572
CFTR	7	117666908	117667108	117666900	117667116
CHEK2	22	28734403	28734721	28734395	28734729
CHEK2	22	28725243	28725367	28725235	28725375
CHEK2	22	28724977	28725124	28724969	28725132
CHEK2	22	28719395	28719485	28719387	28719493
CHEK2	22	28711909	28712017	28711901	28712025
CHEK2	22	28710006	28710059	28709998	28710067
CHEK2	22	28703505	28703566	28703497	28703574
CHEK2	22	28699838	28699937	28699830	28699945
CHEK2	22	28696901	28696987	28696893	28696995
CHEK2	22	28695710	28695873	28695702	28695881
CHEK2	22	28695127	28695242	28695119	28695250
CHEK2	22	28694032	28694117	28694024	28694125
CHEK2	22	28689135	28689215	28689127	28689223
CHEK2	22	28687897	28687986	28687889	28687994
COL7A1	3	48595075	48595159	48595067	48595167
COL7A1	3	48594368	48594548	48594360	48594556
COL7A1	3	48593537	48593696	48593529	48593704
COL7A1	3	48593356	48593449	48593348	48593457
COL7A1	3	48593102	48593263	48593094	48593271
COL7A1	3	48592775	48592938	48592767	48592946
COL7A1	3	48592570	48592699	48592562	48592707
COL7A1	3	48592351	48592467	48592343	48592475
COL7A1	3	48592102	48592248	48592094	48592256
COL7A1	3	48591898	48592014	48591890	48592022
COL7A1	3	48591673	48591822	48591665	48591830
COL7A1	3	48591464	48591592	48591456	48591600
COL7A1	3	48590673	48590816	48590665	48590824
COL7A1	3	48590459	48590584	48590451	48590592
COL7A1	3	48590213	48590356	48590205	48590364
COL7A1	3	48589599	48589718	48589591	48589726
COL7A1	3	48589327	48589470	48589319	48589478
COL7A1	3	48588870	48588995	48588862	48589003
COL7A1	3	48588642	48588788	48588634	48588796
COL7A1	3	48588282	48588404	48588274	48588412
COL7A1	3	48587793	48587939	48587785	48587947
COL7A1	3	48587420	48587554	48587412	48587562
COL7A1	3	48587190	48587336	48587182	48587344
COL7A1	3	48586972	48587108	48586964	48587116
COL7A1	3	48586563	48586689	48586555	48586697
